tariff,days,bill_no_battery,bill_with_battery,usage_charge_no_battery,usage_charge_with_battery,feed_in_credit_no_battery,feed_in_credit_with_battery,supply_charge,import_kwh_no_battery,import_kwh_with_battery,export_kwh_no_battery,export_kwh_with_battery,import_avoided_kwh,export_retained_kwh,gross_saving,degradation_cost,net_saving,net_saving_per_day,annualised_gross_saving,annualised_net_saving,simple_payback_years,controller,initial_soc_kwh,final_soc_kwh,e_max,r_cell,feed_in_c_per_kwh,throughput_kwh,equivalent_full_cycles,life_loss_pct,rainflow_cycles,mean_cycle_depth
flat,31.0,168.2077808,112.27094299516486,136.5290808,73.46344354000783,14.687999999999999,7.559200544842974,46.3667,457.84399999999994,246.3562828303415,489.6,251.97335149476578,211.48771716965842,237.62664850523424,55.936837804835136,63.35905666891777,-7.422218864082637,-0.23942641497040765,659.0622583295495,-87.45049806794141,inf,rule,0.0,0.0,13.5,12000.0,3.0,211.4877171696585,15.665756827382111,0.5279921389076481,151.0,0.10997131805112709
flat,31.0,168.2077808,138.0074022374806,136.5290808,102.4798532375928,14.687999999999999,10.839151000112222,46.3667,457.84399999999994,343.66147966999597,489.6,361.30503333707406,114.18252033000397,128.29496666292596,30.200378562519404,12.381258577559883,17.81911998495952,0.5748103220954685,355.8286538696843,209.94947014536984,57.15661007237195,milp,6.75,6.75,13.5,12000.0,3.0,114.182520330004,8.457964468889186,0.10317715481299904,151.5,0.0591777188527502
tou,31.0,196.5312002,125.31800450949797,162.0439002,83.70190505434094,14.687999999999999,7.559200544842974,49.1753,457.84399999999994,246.3562828303415,489.6,251.97335149476578,211.48771716965842,237.62664850523424,71.21319569050203,63.35905666891777,7.85413902158426,0.25335932327691163,839.0522492243829,92.53949282689197,129.67436532689533,rule,0.0,0.0,13.5,12000.0,3.0,211.4877171696585,15.665756827382111,0.5279921389076481,151.0,0.10997131805112709
tou,31.0,196.5312002,134.92584975771456,162.0439002,95.52752869507589,14.687999999999999,9.776978937361333,49.1753,457.84399999999994,312.6028033985542,489.6,325.8992979120444,145.24119660144572,163.70070208795562,61.60535044228544,25.465704499884833,36.139645942400605,1.1657950304000195,725.85013706596,425.80663485360714,28.181806054115654,milp,6.75,6.75,13.5,12000.0,3.0,149.35418075448774,11.063272648480574,0.21221420416570694,122.5,0.095730984108749
