export_limit_kw,n_segments,grid_cost,grid_revenue,net_profit_ex_degradation,degradation_cost_model,degradation_cost_rainflow,net_profit_incl_degradation,rainflow_relative_error,life_loss_fraction,rainflow_cycles,mean_cycle_depth,max_cycle_depth,discharged_kwh,equivalent_full_cycles,final_soc_kwh,n_windows,solve_seconds,value_added,value_added_spike,value_added_non_spike,max_grid_export_kw
,4,73.42156540129758,116.73321060417429,43.311645202876704,15.685893697807984,15.066303953837629,28.245341249039075,0.041124203113699666,0.001255525329486469,79.5,0.1258619876658076,0.75,125.84353306586578,9.321743190064133,10.125,31,12.119096970003739,135.10760246087676,101.55251043099997,33.55509202987679,13.991999999999999
10.0,4,73.03175560534348,108.1871467751056,35.155391169762126,15.571221052112005,15.01291837870869,20.142472791053436,0.03718815085247511,0.0012510765315590575,82.5,0.12036343387850656,0.75,124.87503699667066,9.250002740494123,10.125,31,13.470492580996506,126.95134842776221,93.65066643766666,33.30068199009557,10.0
5.0,4,71.24886035179068,60.618497583005976,-10.630362768784707,14.823686719452944,14.36780766732371,-24.998170436108417,0.03172920063274694,0.0011973173056103092,84.5,0.11164803282934511,0.75,118.56155169793487,8.782337162809991,10.125,31,12.982614615004422,81.16559448921527,49.00137360433333,32.164220884881935,5.0
