scenario,r_cell,n_segments,grid_cost,grid_revenue,net_profit_ex_degradation,degradation_cost_model,degradation_cost_rainflow,net_profit_incl_degradation,rainflow_relative_error,life_loss_fraction,rainflow_cycles,mean_cycle_depth,max_cycle_depth,discharged_kwh,equivalent_full_cycles,final_soc_kwh,n_windows,solve_seconds,life_loss_pct
bess_only,0.0,1,35.1486595264002,171.37454773687884,136.22588821047864,0.0,139.31421892994007,-3.0883307194614247,,0.011609518244161673,59.5,0.45218426338776374,1.0,342.65824150897544,25.38209196362781,6.75,31.0,4.017593975007912,1.1609518244161672
bess_only,12000.0,1,-0.28429497752808996,103.69312639999998,103.97742137752807,5.904932545702273,1.6774983795173533,102.29992299801071,2.5200824142681015,0.0001397915316264461,7.0,0.13415422904630753,0.5476655713366192,11.959999999999997,0.8859259259259257,6.75,31.0,2.8352418239956023,0.01397915316264461
bess_only,12000.0,2,0.3546040125723803,106.26873079999996,105.91412678742758,4.448777531648039,2.9373277103535815,102.97679907707399,0.5145662896131248,0.0002447773091961318,11.0,0.1313398046607207,0.5241100628920335,18.4,1.362962962962963,6.75,31.0,4.863673906002077,0.02447773091961318
bess_only,12000.0,4,4.7678519173488985,118.742317751282,113.97446583393311,7.6212081472166595,6.771628067098795,107.20283776683432,0.12546171639959178,0.0005643023389248996,28.0,0.18049910372857061,0.34940670859468903,64.3667902514959,4.767910388999696,6.75,31.0,14.849117313013267,0.05643023389248996
bess_only,12000.0,8,5.292759347322595,118.7063287470413,113.4135693997187,5.57753798737598,5.218782420730774,108.19478697898792,0.06874315457569317,0.00043489853506089785,45.0,0.11888822985056421,0.41394757025358553,68.13655102195526,5.047151927552242,6.75,31.0,24.22999285600963,0.04348985350608978
bess_only,12000.0,16,6.045238508163242,119.5925836933702,113.54734518520696,5.025861362139796,5.161959179531346,108.38538600567561,0.026365535382615286,0.00043016326496094544,57.5,0.10007748478873725,0.4224786673886892,73.28802163905382,5.428742343633616,6.75,31.0,38.81537601499804,0.04301632649609455
household,0.0,1,54.492974451398304,149.53544359607312,95.04246914467481,0.0,194.61815555104974,-99.57568640637493,,0.016218179629254145,366.5,0.1226956392028753,1.0000000000000162,572.7061915089716,42.422680852516415,6.75,31.0,14.433574519011017,1.6218179629254144
household,12000.0,1,94.0777869659998,108.47688560069055,14.399098634690745,6.474195691621564,2.3951868469037585,12.003911787786986,1.7030023565763617,0.00019959890390864655,13.5,0.0947860203046552,0.5000000000000002,13.113,0.9713333333333333,13.5,31.0,2.995681506996334,0.019959890390864654
household,12000.0,2,76.10863839587442,119.62989511458923,43.52125671871481,26.088988333348006,22.61347019157654,20.90778652713827,0.15369238389011558,0.0018844558492980448,37.5,0.22645241320238238,1.0000000000000002,107.90321204391053,7.99283052177115,7.278716342568372,31.0,6.01076464000289,0.18844558492980448
household,12000.0,4,73.42156540129758,116.73321060417429,43.311645202876704,15.685893697807984,15.066303953837629,28.245341249039075,0.041124203113699666,0.001255525329486469,79.5,0.1258619876658076,0.75,125.84353306586578,9.321743190064133,10.125,31.0,11.862072207011806,0.1255525329486469
household,12000.0,8,72.28556679934495,119.9730428105323,47.68747601118736,17.013664734642525,16.860992572674434,30.826483438512923,0.009054755306370137,0.001405082714389536,200.5,0.06798811768288929,0.75,172.1271026806361,12.750155754121193,9.894947210098369,31.0,26.955739137996716,0.1405082714389536
household,12000.0,16,72.42366490864096,121.04237088915882,48.61870598051786,16.02192384071263,16.669021454964764,31.949684525553096,0.038820372029660946,0.0013890851212470636,301.5,0.05307443973594354,0.75,202.58177701629768,15.00605755676279,9.329968340054979,31.0,58.570670332981535,0.13890851212470637
state_machine,12000.0,0,126.3374284819999,179.50124859000007,53.16382010800018,,136.69627918801498,-83.5324590800148,,0.011391356599001248,63.5,0.4101944881889764,1.0,511.867,25.59335,18.159999999999997,,,1.1391356599001248
