time,battery_state,rrp,export_kw,import_kw,grid_import_kwh,grid_export_kwh,cumulative_cost,cumulative_revenue,cumulative_profit
1/01/2025 3:10,0,102.54,0,0.204,0.017,0,2.089995362,0,-2.089995362
1/01/2025 3:15,0,105.12,0,0.288,0.024,0,2.09511041,0,-2.09511041
1/01/2025 3:20,0,102.02,0,0.288,0.024,0,2.100151058,0,-2.100151058
1/01/2025 3:25,0,103.61,0,0.216,0.018,0,2.103960164,0,-2.103960164
1/01/2025 3:30,0,104.35,0,0.264,0.022,0,2.108632018,0,-2.108632018
1/01/2025 3:35,0,103.61,0,0.228,0.019,0,2.112652741,0,-2.112652741
1/01/2025 3:40,0,105.74,0,0.288,0.024,0,2.117782669,0,-2.117782669
1/01/2025 3:45,0,104.5,0,0.24,0.02,0,2.122032809,0,-2.122032809
1/01/2025 3:50,0,103.69,0,0.276,0.023,0,2.12690184,0,-2.12690184
1/01/2025 3:55,0,102.85,0,0.192,0.016,0,2.130275552,0,-2.130275552
1/01/2025 4:00,0,102.82,0,0.264,0.022,0,2.134913746,0,-2.134913746
1/01/2025 4:05,0,104.5,0,0.288,0.024,0,2.140013914,0,-2.140013914
1/01/2025 4:10,0,104.5,0,0.216,0.018,0,2.14383904,0,-2.14383904
1/01/2025 4:15,0,102.92,0,0.276,0.023,0,2.148690361,0,-2.148690361
1/01/2025 4:20,0,102.97,0,0.204,0.017,0,2.15227697,0,-2.15227697
1/01/2025 4:25,0,102.18,0,0.288,0.024,0,2.157321458,0,-2.157321458
1/01/2025 4:30,0,102.02,0,0.264,0.022,0,2.161942052,0,-2.161942052
1/01/2025 4:35,0,101.46,0,0.204,0.017,0,2.165502991,0,-2.165502991
1/01/2025 4:40,0,102.02,0,0.276,0.023,0,2.170333612,0,-2.170333612
1/01/2025 4:45,0,101.34,0,0.228,0.019,0,2.174311205,0,-2.174311205
1/01/2025 4:50,0,102.13,0,0.288,0.024,0,2.179354493,0,-2.179354493
1/01/2025 4:55,0,100.54,0,0.24,0.02,0,2.183525433,0,-2.183525433
1/01/2025 5:00,0,102.02,0,1.752,0.146,0,2.214189375,0,-2.214189375
1/01/2025 5:05,0,102.18,0,0.48,0.04,0,2.222596855,0,-2.222596855
1/01/2025 5:10,0,102.94,0,0.348,0.029,0,2.228714318,0,-2.228714318
1/01/2025 5:15,0,102.02,0,0.348,0.029,0,2.234805101,0,-2.234805101
1/01/2025 5:20,0,102.02,0,0.168,0.014,0,2.237745479,0,-2.237745479
1/01/2025 5:25,0,99.28,0,0.156,0.013,0,2.24044021,0,-2.24044021
1/01/2025 5:30,0,89.92,0.012,0.18,0.014,0,2.243211188,0,-2.243211188
1/01/2025 5:35,0,87.5,0,0.204,0.017,0,2.246534807,0,-2.246534807
1/01/2025 5:40,0,87.5,0.012,0.144,0.011,0,2.248685384,0,-2.248685384
1/01/2025 5:45,0,80.24,0.072,0.06,0,0.001,2.248685384,8.02E-05,-2.248605144
1/01/2025 5:50,0,76,0.06,0.168,0.009,0,2.250341447,8.02E-05,-2.250261207
1/01/2025 5:55,0.92,54.77,0.108,0.156,0.933,0,2.402212388,8.02E-05,-2.402132148
1/01/2025 6:00,1.84,55.19,0,0.588,0.969,0,2.560350281,8.02E-05,-2.560270041
1/01/2025 6:05,2.76,20,0.156,0.156,0.933,0,2.679780812,8.02E-05,-2.679700572
1/01/2025 6:10,3.68,43.73,0.216,0.336,0.948,0,2.823627488,8.02E-05,-2.823547248
1/01/2025 6:15,4.6,12.52,0.276,0.144,0.932,0,2.935958652,8.02E-05,-2.935878412
1/01/2025 6:20,5.52,-15,0.324,0.096,0.928,0,3.022269148,8.02E-05,-3.022188908
1/01/2025 6:25,6.44,-18.55,0.3,0.12,0.93,0,3.105464158,8.02E-05,-3.105383918
1/01/2025 6:30,7.36,-18.68,0.36,0.084,0.927,0,3.188270287,8.02E-05,-3.188190047
1/01/2025 6:35,8.28,-18.92,0.396,0.084,0.927,0,3.270853936,8.02E-05,-3.270773696
1/01/2025 6:40,9.2,-18.77,0.36,0.096,0.928,0,3.353665872,8.02E-05,-3.353585632
1/01/2025 6:45,10.12,20.32,0.444,0.084,0.927,0,3.472625001,8.02E-05,-3.472544761
1/01/2025 6:50,11.04,-24.68,0.552,0.084,0.927,0,3.54986913,8.02E-05,-3.54978889
1/01/2025 6:55,11.96,-29.21,0.432,0.12,0.93,0,3.62315034,8.02E-05,-3.6230701
1/01/2025 7:00,12.011,-25.01,0.612,0,0,0,3.62315034,8.02E-05,-3.6230701
