SETTLEMENTDATE,TOTALDEMAND,RRP
1/12/2024 13:15,7867.31,418.35
1/12/2024 13:20,7612.28,187.0
1/12/2024 13:25,7579.57,186.15
1/12/2024 13:30,7400.11,76.0
1/12/2024 13:35,7307.53,76.0
1/12/2024 13:40,7120.45,-19.34
1/12/2024 13:45,7031.88,-24.6
1/12/2024 13:50,6960.05,2.73
1/12/2024 13:55,6938.81,0.0
1/12/2024 14:00,7145.72,45.0
1/12/2024 14:05,7234.2,57.01
1/12/2024 14:10,7265.14,57.01
1/12/2024 14:15,7441.1,57.63
1/12/2024 14:20,7385.09,89.01
1/12/2024 14:25,7493.62,87.5
1/12/2024 14:30,7602.2,135.76
1/12/2024 14:35,7721.41,106.82
1/12/2024 14:40,8031.68,145.96
1/12/2024 14:45,8125.69,103.12
1/12/2024 14:50,8208.78,87.89
1/12/2024 14:55,8236.64,80.0
1/12/2024 15:00,8271.72,141.31
1/12/2024 15:05,8245.13,73.41
1/12/2024 15:10,8019.18,58.7
1/12/2024 15:15,8050.0,76.0
1/12/2024 15:20,8091.59,57.23
1/12/2024 15:25,8064.99,55.26
1/12/2024 15:30,8099.66,56.02
1/12/2024 15:35,7969.47,52.53
1/12/2024 15:40,8050.83,53.2
1/12/2024 15:45,8054.29,52.57
1/12/2024 15:50,8038.69,57.01
1/12/2024 15:55,7910.82,52.17
1/12/2024 16:00,7973.51,53.49
1/12/2024 16:05,7952.38,33.42
1/12/2024 16:10,7840.64,39.38
1/12/2024 16:15,7937.52,41.52
1/12/2024 16:20,7888.21,40.66
1/12/2024 16:25,7889.14,35.18
1/12/2024 16:30,7938.41,45.0
1/12/2024 16:35,8013.28,42.84
1/12/2024 16:40,8110.49,78.87
1/12/2024 16:45,8197.63,82.96
1/12/2024 16:50,8365.26,78.84
1/12/2024 16:55,8445.78,71.29
1/12/2024 17:00,8426.98,92.83
1/12/2024 17:05,8499.79,80.6
1/12/2024 17:10,8558.19,79.43
1/12/2024 17:15,8526.54,96.25
1/12/2024 17:20,8594.16,84.98
1/12/2024 17:25,8601.71,108.19
1/12/2024 17:30,8752.88,172.53
1/12/2024 17:35,8748.65,197.39
1/12/2024 17:40,8767.93,149.17
1/12/2024 17:45,8641.45,234.97
1/12/2024 17:50,8664.47,280.13
1/12/2024 17:55,8642.96,300.03
1/12/2024 18:00,8673.59,360.28
1/12/2024 18:05,8608.11,348.86
1/12/2024 18:10,8637.99,357.32
1/12/2024 18:15,8519.99,307.1
1/12/2024 18:20,8484.22,299.49
1/12/2024 18:25,8397.7,149.96
1/12/2024 18:30,8480.65,269.09
1/12/2024 18:35,8405.77,180.39
1/12/2024 18:40,8522.9,248.33
1/12/2024 18:45,8517.99,191.36
1/12/2024 18:50,8498.15,250.01
1/12/2024 18:55,8461.69,228.99
1/12/2024 19:00,8506.0,207.28
1/12/2024 19:05,8453.89,229.39
1/12/2024 19:10,8498.67,228.45
1/12/2024 19:15,8432.05,206.23
1/12/2024 19:20,8496.93,220.9
1/12/2024 19:25,8447.84,199.5
1/12/2024 19:30,8502.84,200.9
1/12/2024 19:35,8504.9,213.79
1/12/2024 19:40,8486.12,200.9
1/12/2024 19:45,8487.58,198.97
1/12/2024 19:50,8453.23,210.84
1/12/2024 19:55,8432.7,215.11
1/12/2024 20:00,8369.25,211.25
1/12/2024 20:05,8281.59,211.24
1/12/2024 20:10,8243.1,209.31
1/12/2024 20:15,8285.81,200.9
1/12/2024 20:20,8205.28,200.12
1/12/2024 20:25,8162.86,188.02
1/12/2024 20:30,8087.79,189.05
1/12/2024 20:35,8144.06,215.73
1/12/2024 20:40,8128.45,221.76
1/12/2024 20:45,8060.77,219.0
1/12/2024 20:50,7982.77,207.57
1/12/2024 20:55,7895.66,189.25
1/12/2024 21:00,7915.5,209.81
1/12/2024 21:05,7829.56,192.97
1/12/2024 21:10,7900.96,213.95
1/12/2024 21:15,7840.69,216.46
1/12/2024 21:20,7855.37,219.33
1/12/2024 21:25,7840.25,216.9
1/12/2024 21:30,7788.85,217.25
1/12/2024 21:35,7724.72,211.19
1/12/2024 21:40,7752.76,271.24
1/12/2024 21:45,7676.65,222.56
1/12/2024 21:50,7719.23,224.21
1/12/2024 21:55,7631.24,197.06
1/12/2024 22:00,7568.36,176.63
1/12/2024 22:05,7548.91,223.18
1/12/2024 22:10,7510.72,211.19
1/12/2024 22:15,7532.93,219.53
1/12/2024 22:20,7498.11,234.18
1/12/2024 22:25,7454.62,288.76
1/12/2024 22:30,7381.44,259.49
1/12/2024 22:35,7252.95,214.05
1/12/2024 22:40,7278.75,204.87
1/12/2024 22:45,7175.89,173.82
1/12/2024 22:50,7260.61,175.75
1/12/2024 22:55,7159.11,159.58
1/12/2024 23:00,7198.32,157.01
1/12/2024 23:05,7079.84,157.81
1/12/2024 23:10,7213.34,196.65
1/12/2024 23:15,7146.95,194.17
1/12/2024 23:20,7030.81,164.17
1/12/2024 23:25,7072.17,165.41
1/12/2024 23:30,7117.08,193.19
1/12/2024 23:35,7024.43,150.01
1/12/2024 23:40,7105.43,228.02
1/12/2024 23:45,6951.38,150.01
1/12/2024 23:50,6897.15,150.01
1/12/2024 23:55,6957.23,150.01
2/12/2024 0:00,6946.01,150.01
2/12/2024 0:05,6838.12,154.34
2/12/2024 0:10,6861.05,160.78
2/12/2024 0:15,6842.9,144.89
2/12/2024 0:20,6781.36,144.39
2/12/2024 0:25,6761.69,150.01
2/12/2024 0:30,6726.16,143.22
2/12/2024 0:35,6627.77,141.04
2/12/2024 0:40,6627.31,137.08
2/12/2024 0:45,6622.93,136.56
2/12/2024 0:50,6641.03,150.01
2/12/2024 0:55,6501.94,132.24
2/12/2024 1:00,6512.02,113.11
2/12/2024 1:05,6535.11,138.45
2/12/2024 1:10,6539.29,133.6
2/12/2024 1:15,6525.86,113.83
2/12/2024 1:20,6525.55,135.99
2/12/2024 1:25,6413.95,110.02
2/12/2024 1:30,6354.02,111.05
2/12/2024 1:35,6369.74,130.37
2/12/2024 1:40,6350.16,121.13
2/12/2024 1:45,6336.61,110.24
2/12/2024 1:50,6325.56,134.55
2/12/2024 1:55,6369.7,110.38
2/12/2024 2:00,6355.26,110.02
2/12/2024 2:05,6356.66,110.75
2/12/2024 2:10,6314.99,110.02
2/12/2024 2:15,6305.4,110.02
2/12/2024 2:20,6318.3,110.34
2/12/2024 2:25,6311.71,110.77
2/12/2024 2:30,6308.18,110.02
2/12/2024 2:35,6203.3,110.02
2/12/2024 2:40,6377.64,111.46
2/12/2024 2:45,6331.67,110.02
2/12/2024 2:50,6371.86,110.42
2/12/2024 2:55,6313.93,110.18
2/12/2024 3:00,6198.4,108.11
