tariff,days,bill_no_battery,bill_with_battery,usage_charge_no_battery,usage_charge_with_battery,feed_in_credit_no_battery,feed_in_credit_with_battery,supply_charge,import_kwh_no_battery,import_kwh_with_battery,export_kwh_no_battery,export_kwh_with_battery,import_avoided_kwh,export_retained_kwh,gross_saving,degradation_cost,net_saving,net_saving_per_day,annualised_gross_saving,annualised_net_saving,simple_payback_years,e_max,r_cell,feed_in_c_per_kwh,throughput_kwh,equivalent_full_cycles,life_loss_pct,rainflow_cycles,mean_cycle_depth
flat,31.0,169.76529920000002,110.35949970299885,138.2622192,71.55200024784182,14.863619999999997,7.559200544842974,46.3667,463.656,239.94634556620332,495.45399999999995,251.97335149476578,223.7096544337967,243.48064850523417,59.40579949700117,64.04148787229413,-4.635688375292958,-0.1495383346868696,699.9344602025702,-54.61887674437913,inf,13.5,12000.0,3.0,217.8556544337967,16.13745588398494,0.533679065602451,151.5,0.11116343832599507
tou,31.0,198.92480629999997,124.38886257926484,164.61312629999998,82.77276312410783,14.863619999999997,7.559200544842974,49.1753,463.656,239.94634556620332,495.45399999999995,251.97335149476578,223.7096544337967,243.48064850523417,74.53594372073513,64.04148787229413,10.494455848441007,0.3385308338206776,878.2017239999519,123.64838705300251,97.04938564913216,13.5,12000.0,3.0,217.8556544337967,16.13745588398494,0.533679065602451,151.5,0.11116343832599507
