forecaster,scenario,n_segments,r_cell,n_days,grid_cost,grid_revenue,net_profit_ex_degradation,degradation_cost_model,degradation_cost_rainflow,net_profit_incl_degradation,rainflow_relative_error,life_loss_fraction,rainflow_cycles,mean_cycle_depth,max_cycle_depth,discharged_kwh,equivalent_full_cycles,final_soc_kwh,n_windows,solve_seconds,price_mae,price_median_ae,price_mae_clip1000,price_fc_spike_frac,price_actual_spike_frac,price_rmse,price_rmae_vs_naive,price_mae_1h,price_mae_24h,price_rmae_1h,price_rmae_24h,net_local_mae_kw,profit_gap_to_perfect,profit_pct_of_perfect,life_loss_pct
perfect,household,4,12000.0,,73.20519573519584,117.0517167582472,43.84652102305135,15.734479043918276,15.10539654953911,28.741124473512244,0.0416462085133647,0.0012587830457949259,96.5,0.10402482323681624,0.75,126.25576050299196,9.352278555777183,10.125,8928,2466.5337328319865,0.0,0.0,11.598077145500808,0.0011493754337265787,0.0011493754337265787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.1258783045794926
perfect_price,household,4,12000.0,,86.3835376960518,120.71385334931112,34.33031565325932,14.645679784334513,14.691576025379307,19.638739627880014,0.00312398349676776,0.0012242980021149423,92.5,0.10631725223899921,0.7500000000000002,123.65701026936364,9.15977853847138,10.125,8928,1273.5002365100404,0.0,0.0,11.598077145500808,0.0011493754337265787,0.0011493754337265787,0.0,0.0,0.0,0.0,0.0,0.0,1.154026961270282,9.10238484563223,68.32975392448209,0.12242980021149423
naive,household,4,12000.0,,87.58869500392817,119.29438305212635,31.705688048198184,16.7625429103758,15.786083910480711,15.919604137717473,0.06185568285537853,0.0013155069925400592,61.5,0.15817940604979328,0.6240702280502689,122.78644581959531,9.095292282932986,9.100159221108079,8928,2893.035517073003,61.341852506457705,25.299999999999997,53.17411997680366,0.004163775156141568,0.0011493754337265787,481.6986556107042,1.0,79.71114850798058,61.1344124450613,1.0,1.0,1.154026961270282,12.821520335794771,55.38963568523195,0.13155069925400592
aemo,household,4,12000.0,,87.5089935141155,117.75315269041262,30.244159176297117,16.59873875450579,15.57106060664685,14.673098569650268,0.06599923883285459,0.0012975883838872374,74.5,0.1304430875520351,0.7421481638518047,122.57743128238496,9.079809724621109,9.272636019011976,8928,2943.925577619038,161.56109965789415,16.40977,48.948544290455445,0.00965764515382836,0.0011493754337265787,1456.3359900142332,2.633782532747702,112.81676925052047,187.97906935692808,1.4153198311930657,3.074848711858583,1.154026961270282,14.068025903861976,51.052625248441345,0.12975883838872374
lstm,household,4,12000.0,,87.23010041520324,120.52314032940704,33.2930399142038,17.869578587178438,17.34993237410601,15.943107540097792,0.0299509071198442,0.0014458276978421675,51.5,0.1957313570570887,0.6228139342665577,126.93021092747558,9.402237846479673,9.822943004113386,8928,1725.5207602219307,44.55123852981261,22.027881785678964,44.74794565747376,0.0,0.0011493754337265787,428.4888151346293,0.7262780093757768,59.712666583913276,45.98911307949796,0.7491131128029715,0.7522622896036871,1.154026961270282,12.798016933414452,55.47141189549116,0.14458276978421675
