scenario,r_cell,n_segments,grid_cost,grid_revenue,net_profit_ex_degradation,degradation_cost_model,degradation_cost_rainflow,net_profit_incl_degradation,rainflow_relative_error,life_loss_fraction,rainflow_cycles,mean_cycle_depth,max_cycle_depth,discharged_kwh,equivalent_full_cycles,final_soc_kwh,n_windows,solve_seconds,life_loss_pct
bess_only,0.0,1,35.1486595264002,171.37454773687884,136.22588821047864,0.0,139.31421892994007,-3.0883307194614247,,0.011609518244161673,59.5,0.45218426338776374,1.0,342.65824150897544,25.38209196362781,6.75,31.0,4.104038837999838,1.1609518244161672
bess_only,12000.0,1,-0.28429497752808996,103.69312639999998,103.97742137752807,5.904932545702273,1.6774983795173533,102.29992299801071,2.5200824142681015,0.0001397915316264461,7.0,0.13415422904630753,0.5476655713366192,11.959999999999997,0.8859259259259257,6.75,31.0,3.1067658899997923,0.01397915316264461
bess_only,12000.0,2,0.3546040125723803,106.26873079999996,105.91412678742758,4.448777531648039,2.9373277103535815,102.97679907707399,0.5145662896131248,0.0002447773091961318,11.0,0.1313398046607207,0.5241100628920335,18.4,1.362962962962963,6.75,31.0,5.352083468999922,0.02447773091961318
bess_only,12000.0,4,4.7678519173488985,118.742317751282,113.97446583393311,7.6212081472166595,6.771628067098795,107.20283776683432,0.12546171639959178,0.0005643023389248996,28.0,0.18049910372857061,0.34940670859468903,64.3667902514959,4.767910388999696,6.75,31.0,16.49500546300044,0.05643023389248996
bess_only,12000.0,8,5.292759347322595,118.7063287470413,113.4135693997187,5.57753798737598,5.218782420730774,108.19478697898792,0.06874315457569317,0.00043489853506089785,45.0,0.11888822985056421,0.41394757025358553,68.13655102195526,5.047151927552242,6.75,31.0,26.410661551999397,0.04348985350608978
bess_only,12000.0,16,6.045238508163242,119.5925836933702,113.54734518520696,5.025861362139796,5.161959179531346,108.38538600567561,0.026365535382615286,0.00043016326496094544,57.5,0.10007748478873725,0.4224786673886892,73.28802163905382,5.428742343633616,6.75,31.0,43.01251642699981,0.04301632649609455
household,0.0,1,54.603665806404685,149.98345990694477,95.3797941005401,0.0,194.76366287958624,-99.38386877904614,,0.01623030523996552,359.5,0.12485826796420568,1.0,571.6694348423088,42.34588406239324,6.75,31.0,15.246704977999798,1.623030523996552
household,12000.0,1,93.76389371900024,108.68144101589165,14.917547296891414,6.507768886697464,2.430622814865521,12.486924482025893,1.6774079659321885,0.00020255190123879343,10.0,0.1284950522693617,0.5000000000000002,13.181,0.9763703703703703,13.499999999999998,31.0,3.430779492999932,0.020255190123879344
household,12000.0,2,75.99723302448227,119.9718114486114,43.974578424129135,26.091652102758786,22.577100511099143,21.39747791302999,0.15566886411883812,0.0018814250425915951,37.5,0.22633501728899916,1.0,107.91422930804875,7.993646615411018,7.136496427007918,31.0,6.889451434999728,0.18814250425915952
household,12000.0,4,73.216695813379,117.0558848104195,43.839188997040495,15.727246606261506,15.096138088855785,28.74305090818471,0.04180595816565932,0.0012580115074046487,76.5,0.13115816051118373,0.75,126.19467716965848,9.347753864419147,10.125,31.0,12.956308699999568,0.12580115074046488
household,12000.0,8,72.16628938192784,120.15155588269667,47.98526650076883,16.83408400626284,16.645694393945274,31.339572106823557,0.011317618109466987,0.0013871411994954394,205.5,0.06598617789824486,0.75,171.20552208316457,12.681890524678856,9.919327161338515,31.0,26.500014037000142,0.13871411994954394
household,12000.0,16,72.18336102637224,121.19338485627387,49.01002382990163,15.937828240900693,16.62172288540479,32.388300944496834,0.04114463038633687,0.0013851435737837325,296.5,0.053832993045031675,0.75,201.9579689817001,14.959849554200007,9.55998788001636,31.0,63.133767381000325,0.13851435737837325
state_machine,12000.0,0,124.177914875,179.05448943999994,54.87657456499994,,135.824623362695,-80.94804879769507,,0.011318718613557918,63.5,0.40895905511811026,1.0,510.29800000000006,25.514900000000004,18.159999999999997,,,1.1318718613557919
